Name,Unique ID,__url,Slug,Image,Description,Twitter,Website,Facebook,Summaries,Collection ID,Locale ID,Item ID,Summaries copy
Dana Wilde,801,https://www.actionablebooks.com/en-ca/authors/Dana-Wilde/,Dana-Wilde,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/01/dana-wilde.jpg,Dana Wilde is the author of Train Your Brain: How to Build a Million Dollar Business in Record Time. This book teaches entrepreneurs that before you take action you must have the right mindset for success. She breaks down the Cycle of Perpetual Sameness – the number one reason why most people only experience incremental change in their lives and their businesses. Dana provides the much-needed blueprint to help you get off this counterproductive cycle and how to do it quickly. Her program of the same name has been used by thousands of small business owners and continues to be her #1 selling training.,http://twitter.com/TheMindAware/,http://danawilde.com,,Train Your Brain,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779dab9c74277592fff71,Train Your Brain
Cyndi Maxey,216,https://www.actionablebooks.com/en-ca/authors/Cyndi-Maxey/,Cyndi-Maxey,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/05/cyndi-maxey.jpg,"Whether speaking to groups or coaching executives, Cyndi is a master communicator and facilitator. A graduate of Northwestern University in Communication Studies, she finds the right blend of theory and application to encourage learning, retention and fun. Over the past 30 years, Cyndi has spoken throughout the nation and coached executives to higher levels. She is the coauthor of six books, including Fearless Facilitation: How to Engage and Involve Your Audience (Pfeiffer/Wiley), Ten Steps to Successful Time Managment (ASTD Press), Speak Up! A Woman’s Guide to Presenting Like a Pro and Present Like a Pro (St. Martin’s Press) – all with Kevin E. O’Connor. In It’s Your Move: Dealing Yourself the Best Cards in Life and Work, (FT/Prentice Hall 2003) with Jill Bremer, she shares the key strategies that winners use to thrive in today’s fast-paced work environment. She inspires people to take initiative with step-by-step game plans to propel them to success. Cyndi lives in Chicago where her active young adult children and Labrador Retriever, Max Maxey, add both chaos and balance to her life.",http://twitter.com/CyndiMaxeySpk/,http://cyndimaxey.com/,,Fearless Facilitation,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779d86669606bb68ae755,Fearless Facilitation
Jennifer Garvey Berger,521,https://www.actionablebooks.com/en-ca/authors/Jennifer-Garvey-Berger/,Jennifer-Garvey-Berger,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/07/jennifer-garvey-berger-180x220.jpg,"As a teacher, writer, researcher, and coach, Jennifer Garvey Berger helps individuals and teams to transform themselves and their organizations, to see bigger perspectives, to think in more creative ways, and to collaborate to come up with collective ideas. With her partners at Cultivating Leadership, Jennifer runs transformational leadership programs and supports organizations to use their leaders (and leadership development) to encourage and support whole-of-organization change. Jennifer has worked with executives in a wildly diverse set of organizations like Microsoft, Fidelity Investments, the New Zealand Department of Conservation, and Lion, helping leaders increase their own capacity to think well about problems and people.",http://twitter.com/jgberger/,http://cultivatingleadership.co.nz,,Simple Habits for Complex Times,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a0ce303a77ff77b9199,Simple Habits for Complex Times
Chris Kneeland,227,https://www.actionablebooks.com/en-ca/authors/Chris-Kneeland/,Chris Kneeland,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/06/chris_kneeland-180x220.jpg,"Chris Kneeland is co-founder and CEO of Cult Collective Ltd., an international marketing services firm headquartered in Calgary Alberta. Prior to forming Cult, Chris was S.V.P. of Retail Marketing at RAPP in Dallas Texas consulting for Best Buy, HEB Grocery, Supervalu, Lenscrafters, Hyatt and others. Chris also held marketing management positions within John Deere and The Home Depot. Chris has a bachelor‚Äôs degree in Marketing Communications from Brigham Young University and a Master‚Äôs Degree of Integrated Marketing from Northwestern University.",http://twitter.com/Cultideas/,http://cultideas.com/,,Fix: Break the Addiction that’s Killing Brands,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779ceaa6801b383a34edc,Fix: Break the Addiction that’s Killing Brands
Chris Fussell,563,https://www.actionablebooks.com/en-ca/authors/Chris-Fussell/,Chris-Fussell,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/09/chris-fussell-180x165.jpg,"Chris Fussell is a partner at McChrystal Group, where he oversees development, client relations, and marketing for CrossLead, a leadership and management system that enables organizations to break down silos, build trust, and work as an empowered and adaptable “team of teams” toward shared goals.",http://twitter.com/fussellchris/,http://CrossLead.com,,Team of Teams: New Rules of Engagement for a Complex World,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779cd617bb3014a3c2add,Team of Teams: New Rules of Engagement for a Complex World
Katie Fritchen,669,https://www.actionablebooks.com/en-ca/authors/Katie-Fritchen/,Katie-Fritchen,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/04/katie-fritchen-180x220.jpg,"Katie Fritchen is the Brand & Content Strategist for Crestcom International. A graduate of the University of Oregon’s Lundquist School of Business and specialist in business development, she is a writer and editor specializing in business topics and is the author of the upcoming book, The Millennial’s Guide to the Hamster Wheel.",,http://crestcomleadership.com/,,The Leadership Habit,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a1d6a95d95c75444b66,The Leadership Habit
David A. Owens,152,https://www.actionablebooks.com/en-ca/authors/David-A.-Owens/,David-A.-Owens,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/05/owens.jpg,"David A. Owens is professor of the practice of management at Vanderbilt’s Graduate School of Management where he also directs the Executive Development Institute. Specializing in innovation and new product development, he is known as a dynamic speaker and is the recipient of numerous teaching awards. He provides consulting services for a wide range of clients around the world, and his work has been featured in the New York Times, Wall Street Journal, London Guardian and San Jose Mercury News, as well as on NPR’s Marketplace.",http://twitter.com/daveowens‎/,http://creativepeoplemustbestopped.com/,,Creative People Must Be Stopped,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779e1a4f705134a2c521e,Creative People Must Be Stopped
Bruce Nussbaum,151,https://www.actionablebooks.com/en-ca/authors/Bruce-Nussbaum/,Bruce-Nussbaum,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/11/bruce_nussbaum.jpg,"Bruce Nussbaum is a Professor of Innovation and Design at Parsons The New School of Design in New York City, is a former Managing Editor at BusinessWeek and blogs for Fast Company and Harvard Business Review. He taught third grade science in the Peace Corps in the Philippines and studied anthropology, sociology and political science in grad school at the University of Michigan. At Business Week, he wrote dozens of cover stories but his favorites are “I’m Worried About My Job, I Can’t Get the !X@#! Thing To Work, The World’s Most Innovative Companies, The Power of Design and Get Creative, How to Build Innovative Companies.",http://twitter.com/brucenussbaum/,http://creativeintelligencebook.com/,,Creative Intelligence,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779c4e64200c193001382,Creative Intelligence
Jonathan Littman,759,https://www.actionablebooks.com/en-ca/authors/Jonathan-Littman/,Jonathan-Littman,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/02/jonathan-littman-180x220.jpg,Jonathan Littman is the author of The Fugitive Game and The Watchman and is a contributing writer for Red Herring magazine.,http://twitter.com/crashingaugusta/,http://crashingaugusta.com,,The Ten Faces of Innovation,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a185519c9dcd5b27fa6,The Ten Faces of Innovation
Corrine Sandler,820,https://www.actionablebooks.com/en-ca/authors/Corrine-Sandler/,Corrine-Sandler,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/11/Corrine-Sandler.jpg,"A thought leader, visionary and exceptional entrepreneur, Corrine has established a reputation for unparalleled consumer understanding and insight development. She is the CEO and founder of Fresh Intelligence Research Corp., a global business intelligence company, working with fortune 500 companies. As a recognized industry leader, Corrine is a highly sought-after and passionate speaker around the world. She is an expert guest writer for numerous publications and has published numerous white papers in her industry. She is known for her assertive and dogmatic approach to business and is a brilliant innovator within the Market Research industry. Corrine was born in Johannesburg, South Africa and now lives in Toronto, Canada with her four children and Golden Retriever, Sky.",http://twitter.com/FreshIntel‎/,http://corrinesandler.com,,Wake Up or Die,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779d2eb77d01c45b4a26d,Wake Up or Die
Mark Verstegen,203,https://www.actionablebooks.com/en-ca/authors/Mark-Verstegen/,Mark-Verstegen,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/12/mark-verstegen.jpg,"An internationally renowned trainer, and speaker and the owner of Athletes’ Performance Institute in Tempe, Arizona, Mark Verstegen is the author of four previous Core Performance titles, including The Core Performance and Core Performance Essentials. Pete Williams hosts The Fitness Buff radio show and is the author or coauthor of thirteen books, including the four previous Core Performance titles.",http://twitter.com/markverstegen/,http://coreperformance.com,,Every Day Is Game Day,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a2b46b4157301605dbe,Every Day Is Game Day
Alan Weiss,385,https://www.actionablebooks.com/en-ca/authors/Alan-Weiss/,Alan-Weiss,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/01/alan-weiss1.jpg,"Alan Weiss is one of those rare people who can say he is a consultant, speaker and author and mean it. His consulting firm, Summit Consulting Group, Inc. has attracted clients such as Merck, Hewlett-Packard, GE, Mercedes-Benz, State Street Corporation, Times Mirror Group, The Federal Reserve, The New York Times Corporation, and over 500 other leading organizations. He has served on the boards of directors of the Trinity Repertory Company, a Tony-Award-winning New England regional theater, Festival Ballet, and chaired the Newport International Film Festival.",http://twitter.com/BentleyGTCSpeed/,http://contrarianconsulting.com,,Million Dollar Coaching,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779a94df57c64241a5665,Million Dollar Coaching
Joe Pulizzi,142,https://www.actionablebooks.com/en-ca/authors/Joe-Pulizzi/,Joe-Pulizzi,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/02/joe-pulizzi-180x220.jpeg,"Joe Pulizzi is an entrepreneur, speaker, author, podcaster, father and lover of all things orange. He’s the founder of multiple startups, including the Content Marketing Institute (CMI), the leading content marketing educational resource for enterprise brands, recognized as the fastest growing business media company by Inc. magazine in 2014. CMI is responsible for producing Content Marketing World, the largest content marketing event in the world (held every September in Cleveland, Ohio), as well as the leading content marketing magazine, Chief Content Officer. He began using the term “content marketing” back in 2001. CMI also offers advisory services for innovative organizations such as HP, AT&T, Petco, LinkedIn, SAP, the Gates Foundation and many others.",http://twitter.com/JoePulizzi/,http://contentmarketinginstitute.com,,Content Inc.,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a12466118417dcf99bd,Content Inc.
John Neffinger,136,https://www.actionablebooks.com/en-ca/authors/John-Neffinger/,John-Neffinger,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/12/john-neffinger-180x220.png,"John Neffinger and Matthew Kohut are partners in KNP Communications, a firm specializing in presentation coaching and communications strategy for corporate and political clients. They also lecture regularly at Harvard Business School, Columbia Business School, MIT, Bennington College, and the Naval War College.",http://twitter.com/neffinger/,http://compellingpeople.com/,,Compelling People,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a15428fe8e31fb00f19,Compelling People
Claudia Azula Altucher,77,https://www.actionablebooks.com/en-ca/authors/Claudia-Azula-Altucher/,Claudia-Azula-Altucher,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/01/Claudia-Azula-Altucher.jpg,Claudia Azula Altucher is a writer and a teacher of yoga. She is the co-author of the Wall Street Journal bestselling book: “The Power of No” (HayHouse 2014) and author of “21 Things to Know Before Starting an Ashtanga Yoga Practice”.,http://twitter.com/ClaudiaYoga/,http://ClaudiaYoga.com,,"Becoming An Idea Machine,The Power of No",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779d148ca369e0e99cfa7,"The Power of No,Becoming An Idea Machine"
Chris Lowney,455,https://www.actionablebooks.com/en-ca/authors/Chris-Lowney/,Chris-Lowney,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/02/chris-lowney.jpg,"Chris Lowney chairs the board of Catholic Health Initiatives, one of the nation’s largest healthcare/hospital systems with some $ 19 billion in assets. He is a one-time Jesuit seminarian who later served as a Managing Director of J.P. Morgan & Co in New York, Tokyo, Singapore and London until leaving the firm in 2001. He is a popular keynote speaker who has lectured in more than two-dozen countries on on leadership, business ethics, decision-making and other topics.",http://twitter.com/chrislowney/,http://chrislowney.com,,Pope Francis: Why He Leads the Way He Leads,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779cfba10a59f863148af,Pope Francis: Why He Leads the Way He Leads
Chris Grivas,664,https://www.actionablebooks.com/en-ca/authors/Chris-Grivas/,Chris-Grivas,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/02/Chris_Grivas.png,"AS PRINCIPAL OF CHRIS GRIVAS CONSULTING, a global consultancy headquartered in Seattle, Chris focuses on increasing the creative capacity of individuals, teams, and organizations. He is the lead author of The Innovative Team (Jossey-Bass, 2011), a business fable that explores how teams can produce breakthrough results despite members’ varied creative styles.",http://twitter.com/ChrisGrivas/,http://chrisgrivas.com,,The Innovative Team,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779ce8c2c4eb282714324,The Innovative Team
Scott Brinker,271,https://www.actionablebooks.com/en-ca/authors/Scott-Brinker/,Scott-Brinker,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/02/scott-brinker-180x220.jpg,"Scott Brinker is the editor of the popular Chief Marketing Technologist blog (chiefmartec.com), where he covers topics at the intersection of marketing and technology, and he is the program chair of the MarTech conference series. He is also the cofounder and CTO of ion interactive, a marketing software company that serves leading brands such as Dell, DHL, Dun & Bradstreet, eHealth, General Mills, Iron Mountain, Paychex, Pearson, and Symantec.",,http://chiefmartec.com/,,Hacking Marketing,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a4df8540e935862d498,Hacking Marketing
Charles Duhigg,529,https://www.actionablebooks.com/en-ca/authors/Charles-Duhigg/,Charles-Duhigg,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2012/07/duhigg1.jpg,"My name is Charles Duhigg, and I’m a reporter for The New York Times. I’m also the author of a forthcoming book from Random House, The Power of Habit, about the science of habit formation in our lives, companies and societies.",http://twitter.com/cduhigg/,http://charlesduhigg.com/,,"Smarter Faster Better,Smarter Faster Better,The Power of Habit,The Power of Habit",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779ca3aad56f8925572eb,"The Power of Habit,The Power of Habit,Smarter Faster Better,Smarter Faster Better"
Howard Stevens,512,https://www.actionablebooks.com/en-ca/authors/Howard-Stevens/,Howard-Stevens,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2012/11/stevens1.png,"Howard Stevens is Chairman of Chally Group Worldwide, Mr. Stevens specializes in leadership development, succession planning, customer and market analysis, and sales benchmarking. He is the creator of the original sales product lifecycle classifications and designed the major 5 year longitudinal study of leadership development for the U.S. Department of Defense and NASA. A licensed clinical psychologist, he is also known for his research and programs to develop a professional sales curriculum at the university level. With diversified interests, he is the author of several books on sales and management including Achieve Sales Excellence, The Quadrant Solution (published in multiple languages) and Selling the Wheel. He has written many articles and is a frequent speaker and radio and television guest. His World Class sales benchmarks program has been presented over 500 times across 30 countries for corporations, trade associations, government agencies, and universities. He has been a guest on CNN, Bloomberg USA, National Public Radio, Radio Free America, and other business-based programs. Mr. Stevens also taught “World Class Sales” benchmarks at the Columbia University Graduate School of Business and other universities, and serves on the Sales Advisory Board for Ohio University and the Foundation Board of Wright State University. Besides Chally, he also founded the Ohio Institute of Photography and is listed in Who’s Who and many professional references. He has been professionally associated with several Washington-based groups where he has consulted for the Justice Department, the Defense Department, the Intergovernmental Personnel Agency, and the Atomic Energy Commission.",,http://chally.com/who-we-are/management/,,Selling the Wheel,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779ff3191f005ae2dee72,Selling the Wheel
Chade Meng Tan,325,https://www.actionablebooks.com/en-ca/authors/Chade-Meng-Tan/,Chade-Meng-Tan,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/10/chade-meng-tan.jpg,"Chade-Meng Tan (Meng) is Google’s Jolly Good Fellow (which nobody can deny). Meng was one of Google’s earliest engineers. Among many other things, he helped build Google’s first mobile search service, and headed the team that kept a vigilant eye on Google’s search quality. His current job description is, “Enlighten minds, open hearts, create world peace”.",http://twitter.com/chademeng/,http://chademeng.com,,"Joy on Demand,Search Inside Yourself",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779c818cded8270bc202b,"Search Inside Yourself,Joy on Demand"
Kevin Cashman,339,https://www.actionablebooks.com/en-ca/authors/Kevin-Cashman/,Kevin-Cashman,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/07/kevin-cashman.jpeg,"Kevin Cashman is recognized as one of the pioneering thought leaders in leadership development and executive coaching and is regarded as one of the world’s premier CEO coaches. Leadership Excellence magazine has named him one of the Top 10 Thought Leaders for several years. For more than thirty years, he has advised senior executives and senior teams in more than sixty countries.",http://twitter.com/Kevin_Cashman/,http://CashmanLeadership.com,,Leadership from the Inside Out,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a206f7acfe966e5994e,Leadership from the Inside Out
Caroline Webb,287,https://www.actionablebooks.com/en-ca/authors/Caroline-Webb/,Caroline-Webb,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/03/carloine-webb-180x166.jpg,"Caroline Webb is an economist, management consultant and executive coach who has spent the last fifteen years showing her clients how to apply insights from behavioral science (neuroscience, psychology and behavioral economics) to boost their professional effectiveness and job satisfaction. After a first career at the Bank of England, she worked for 12 years at management consulting firm McKinsey & Company, where she was a partner in their leadership and organizational change practice. She then founded her own firm (Sevenshift) to provide behavioral science-based coaching to leaders. Her forthcoming book, ‘How To Have a Good Day’, translates that experience onto the page, showing readers how they can use behavioral science to transform the quality of their everyday working lives. The book is published by Random House (Crown Business) in North America, and Macmillan (Pan Macmillan) in the UK & Commonwealth. Thirteen translations will be published around the world in 2016.",,http://carolinewebb.co/,,How to Have a Good Day,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779cf192430f52a08f2eb,How to Have a Good Day
Carmine Gallo,559,https://www.actionablebooks.com/en-ca/authors/Carmine-Gallo/,Carmine-Gallo,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/04/carmine_gallo.jpg,"Carmine Gallo is the communications coach for the world’s most admired brands. He transforms executives into extraordinary presenters—working directly with the companies that touch your life every day. A former anchor and correspondent for CNN and CBS, Gallo works directly with the world’s top business leaders to help them craft compelling messages, tell inspiring stories and share their innovative ideas with a global audience. Gallo has addressed executives at Intel, Cisco, Google, Medtronic, Disney, The Four Seasons, SAP, Pfizer, Linked In, Chevron, SanDisk, Univision, Edmunds.com, and many other global brands. Gallo is also a popular keynote speaker whose customized multimedia presentations are a hit with audiences around the world.",http://twitter.com/carminegallo/,http://carminegallo.com,,"Talk Like TED,The Presentation Secrets of Steve Jobs,The Storyteller’s Secret",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779c795897b7a27078764,"The Presentation Secrets of Steve Jobs,Talk Like TED,The Storyteller’s Secret"
Beverly Kaye,346,https://www.actionablebooks.com/en-ca/authors/Beverly-Kaye/,Beverly-Kaye,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/01/beverly-kaye.jpg,"Beverly Kaye is an internationally recognized authority on career issues, and retention and engagement in the workplace. As founder and CEO of Career Systems International, ASTD’s 2010 recipient of the Distinguished Contribution to Workplace Learning and Performance Award, and a bestselling author on workplace performance, Dr. Kaye has worked with a host of organizations to establish cutting-edge, award-winning talent development solutions. Her first book, Up Is Not the Only Way became a classic. In it she foresaw the effects that leaner, flatter organizations would have on individual careers and the subsequent need for workers to take charge of their own careers. With the fourth edition of Love ‘Em or Lose ‘Em: Getting Good People to Stay, a bestseller she coauthored, Bev once again proved to be a pioneer in addressing one of the most pressing workplace problems of the 21st century: retaining and engaging employees. In her follow-up companion bestseller, Love It, Don’t Leave It: 26 Ways to Get What You Want at Work, she shows employees how they can find greater satisfaction in their current work lives.",http://twitter.com/BeverlyLKaye/,http://careersystemsintl.com,,Learn Like a Leader,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779bd9230a02f00d08d66,Learn Like a Leader
Cal Newport,167,https://www.actionablebooks.com/en-ca/authors/Cal-Newport/,Cal-Newport,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/05/cal-newport-180x220.jpg,"Cal Newport is a writer and a professor of computer science at Georgetown University. He is the author of five books and runs the popular advice blog, Study Hacks, which attempts to decode “patterns of success” in both school and the working world. His contrarian ideas on building a successful, meaningful life have been featured on TV, radio, and in many major publications, including the New York Times, Wall Street Journal, Washington Post, and New York Post.",,http://calnewport.com/,,"Deep Work,So Good They Can’t Ignore You",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779c5c7eef1dc826b3e69,"So Good They Can’t Ignore You,Deep Work"
Jeff Jarvis,477,https://www.actionablebooks.com/en-ca/authors/Jeff-Jarvis/,Jeff-Jarvis,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/07/jeff-jarvis-180x220.jpeg,"Jeff Jarvis is the proprietor of one of the Web’s most popular and respected blogs about the internet and media, Buzzmachine.com. He also writes the new media column for the Guardian in London. He was named one of 100 worldwide media leaders by the World Economic Forum at Davos in 2007 and 2008, and he was the creator and founding editor of Entertainment Weekly. He is on the faculty of the City University of New York Graduate School of Journalism in New York City.",http://twitter.com/jeffjarvis/,http://buzzmachine.com,,Public Parts,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a0a7a1f0c5fa13c3c7d,Public Parts
Dave Kerpen,589,https://www.actionablebooks.com/en-ca/authors/Dave-Kerpen/,Dave-Kerpen,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/04/kerpen-180x210.jpg,"Dave Kerpen is the cofounder and Chairman of Likeable Media, an award-winning social media and word-of-mouth marketing firm and the founder and CEO of Likeable Local, a software platform for small businesses. Dave and his wife Carrie lead 2 teams of over 75 people in working with brands, organizations, governments, and small businesses to better leverage social media to become more transparent, responsive, engaged, and likeable. Likeable Media was named to both the 2011 and 2012 Inc. 500 list of fastest growing private companies in the United States and to both the 2012 and 2013 Crain’s Best Places to Work in New York (#6 in 2013!)",http://twitter.com/DaveKerpen/,http://BuyArtofPeople.com,,The Art of People,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779dfb26d4ee0b8298fce,The Art of People
Greg Bustin,44,https://www.actionablebooks.com/en-ca/authors/Greg-Bustin/,Greg-Bustin,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/04/greg-bustin-180x220.png,"Greg Bustin is a business and leadership consultant, an international speaker, and a Master Chair for Vistage International, the world’s largest CEO membership organization. He writes a monthly bulletin sent to more than 5,000 executives globally and regularly speaks at events in the United States, Canada, Australia, and the UK. His perspective on leadership has appeared in the Wall Street Journal, Barron’s, the Dallas Morning News, and other major publications.",http://twitter.com/GregBustin/,http://bustin.com,,Accountability,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779f9ab7f0afdc83a0c20,Accountability
Donald Sull,523,https://www.actionablebooks.com/en-ca/authors/Donald-Sull/,Donald-Sull,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/06/donald-sull-180x220.jpg,"Don Sull teaches strategy at the MIT Sloan School of Management. He was formerly a Professor at London Business School and Harvard University, where he earned his bachelors, masters, and doctoral degrees. The Economist and Fortune have identified him among the next generation of management gurus. Prior to academia, Sull worked as a consultant with McKinsey & Company, and a management-investor with the leveraged buyout firm Clayton, Dubilier & Rice. He discovered the power of simple rules when working as an undersized bouncer in a biker bar.",http://twitter.com/simple_rules/,http://businessexperiments.org,,Simple Rules,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779eb806eaeecba7c2507,Simple Rules
Brigid Schulte,429,https://www.actionablebooks.com/en-ca/authors/Brigid-Schulte/,Brigid-Schulte,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/09/brigid-schulte.jpeg,"Brigid Schulte is an award-winning journalist for the Washington Post and Washington Post magazine. She was part of a team that won the Pulitzer Prize. She is also a fellow at the New America Foundation. She lives in Alexandria, Virginia with her husband and two children. She grew up in Oregon and spent summers in Wyoming, where she did not feel overwhelmed. More info and resources on Overwhelm and Bright Spots at brigidschulte.com",http://twitter.com/BrigidSchulte/,http://brigidschulte.com,,Overwhelmed,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779c4db07360e27f5908c,Overwhelmed
Bob Sullivan,709,https://www.actionablebooks.com/en-ca/authors/Bob-Sullivan/,Bob-Sullivan,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/01/bob-sullivan.jpg,Bob Sullivan covers Internet scams and consumer fraud for MSNBC.com. He is the winner of multiple journalism awards for his coverage of online crime and author of Gotcha Capitalism: How Hidden Fees Rip You Off Every Day and What You Can Do About It. and Your Evil Twin: Behind the Identity Theft Epidemic.,http://twitter.com/RedTapeChron/,http://bobsullivan.net/,,The Plateau Effect,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779bf0c4923752829db0e,The Plateau Effect
Robert Pozen,210,https://www.actionablebooks.com/en-ca/authors/Robert-Pozen/,Robert-Pozen,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/07/pozen.jpg,"Robert C. Pozen is Senior Lecturer at Harvard Business School and Senior Fellow at the Brookings Institution. He was formerly Chairman of MFS Investment Management®, which manages over $200 billion in assets forover five million investors worldwide. This represents an increase of about 75% from the first half of 2004 when Bob was named Chairman.",http://twitter.com/Pozen/,http://bobpozen.com,,Extreme Productivity,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a47705bf127c12b2b50,Extreme Productivity
Karim H. Ismail,331,https://www.actionablebooks.com/en-ca/authors/Karim-H.-Ismail/,Karim-H.-Ismail,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/12/ismail.jpeg,"Karim H. Ismail is the founder of Blueprint Programs, a series of group coaching programs focused on self-leadership to help people live a balanced, happy life at their full potential. This unique program provides the Framework, Attitude, Skills and Tools (F.A.S.T.) to achieve dreams, promises, legacies and life changes which previously seemed “impossible.”",http://twitter.com/Karim_Ismail‎/,http://blueprint-programs.com,,Keep ANY Promise,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a1cf0f6c18138334472,Keep ANY Promise
